date,ticker,signal,regime,action,confidence,has_news,realized_1d,realized_3d,realized_5d,resolved,correct
2026-01-05,TMO,BREACH_UP,BULL,LONG,,False,1.5576,-0.769,0.6954,True,0.0
2026-04-23,TMO,BREACH_DOWN,BULL,IGNORE,,False,-0.6449,-0.7542,-2.627,True,0.0
2021-06-23,TSLA,BREACH_UP,UNKNOWN,HOLD,,False,3.5411,4.8967,3.5228,True,1.0
2021-09-20,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,-1.2614,-3.2143,-8.3802,True,0.0
2021-10-25,TSLA,BREACH_UP,BULL,LONG,,False,-0.6274,5.0914,17.9273,True,1.0
2021-11-01,TSLA,BREACH_UP,BULL,LONG,,False,-3.0275,1.764,-3.7771,True,1.0
2021-11-09,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-4.3429,-0.9692,-3.0513,True,0.0
2022-01-03,TSLA,BREACH_UP,BULL,LONG,,False,-4.1833,-11.2587,-11.8072,True,0.0
2022-01-27,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,-2.0806,-12.3206,-7.4828,True,0.0
2022-03-28,TSLA,BREACH_UP,BULL,LONG,,False,0.708,-1.3042,4.9101,True,0.0
2022-04-26,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,-0.5808,0.6458,-3.7459,True,1.0
2022-07-21,TSLA,BREACH_UP,BULL,LONG,,False,0.1975,-4.7281,3.3835,True,0.0
2022-08-05,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-0.7819,-2.1469,-4.1156,True,0.0
2022-09-29,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,1.1036,6.9982,11.2151,True,1.0
2022-10-03,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,-2.9043,1.7615,8.0198,True,1.0
2023-01-03,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,-5.1249,-4.5883,-9.9445,True,0.0
2023-01-26,TSLA,BREACH_UP,BULL,LONG,,False,11.0002,8.0801,17.4705,True,1.0
2023-01-27,TSLA,BREACH_UP,BULL,LONG,,False,-6.3182,1.973,6.7903,True,1.0
2023-04-20,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-1.2823,1.4234,1.7179,True,1.0
2023-06-21,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-1.9849,7.0955,1.241,True,1.0
2023-07-03,TSLA,BREACH_UP,BULL,LONG,,False,0.9506,-1.9262,-3.5844,True,0.0
2023-07-20,TSLA,BREACH_DOWN,BULL,IGNORE,,False,1.0955,-0.9053,2.7349,True,0.0
2023-08-21,TSLA,BREACH_UP,BEAR,HOLD,,False,0.8258,-0.5361,3.2601,True,0.0
2023-08-29,TSLA,BREACH_UP,BULL,LONG,,False,-0.1089,-4.7321,-2.0453,True,0.0
2023-09-11,TSLA,BREACH_UP,BULL,LONG,,False,-2.2297,0.8992,-3.0338,True,1.0
2023-10-19,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,3.6891,1.631,6.5195,True,1.0
2024-01-25,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-0.3395,-4.9061,-3.4113,True,0.0
2024-03-04,TSLA,BREACH_DOWN,BULL,IGNORE,,False,3.9332,5.0441,5.5119,True,1.0
2024-04-24,TSLA,BREACH_UP,BEAR,HOLD,,False,4.9651,19.6879,11.0159,True,1.0
2024-04-29,TSLA,BREACH_UP,BULL,LONG,,False,-5.5501,-7.2353,-4.7874,True,0.0
2024-05-21,TSLA,BREACH_UP,BULL,LONG,,False,-3.478,-3.9443,-5.5788,True,0.0
2024-07-01,TSLA,BREACH_UP,BULL,LONG,,False,10.1973,19.8513,25.0024,True,1.0
2024-07-02,TSLA,BREACH_UP,BULL,LONG,,False,6.5424,9.3747,13.8372,True,1.0
2024-07-03,TSLA,BREACH_UP,BULL,LONG,,False,2.0821,6.4694,-2.1754,True,1.0
2024-07-11,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-2.9872,-6.4432,-3.4021,True,0.0
2024-07-24,TSLA,BREACH_DOWN,BULL,IGNORE,,False,-1.9723,-7.4587,-7.4448,True,0.0
2024-09-06,TSLA,BREACH_DOWN,BEAR,IGNORE,,False,-2.629,-8.257,-9.282,True,0.0
2024-09-19,TSLA,BREACH_UP,BULL,LONG,,False,-2.3245,4.2432,4.2227,True,1.0
